📅 Log de execução - 13/03/2025, 16:18:19

✅ Contas enviadas com sucesso: 24
  - 301826 | Valor: 9147.38
  - 40356 | Valor: 2600
  - 656953 | Valor: 1394.66
  - 656968 | Valor: 3621.56
  - 656956 | Valor: 2091.67
  - 39941 | Valor: 2500
  - 40369 | Valor: 3000
  - 4191438 | Valor: 4660.46
  - 656955 | Valor: 8900.03
  - 4203573 | Valor: 3000
  - 657285 | Valor: 77659.54
  - 656862 | Valor: 944.18
  - 40368 | Valor: 2500
  - 656860 | Valor: 2817.59
  - 4203202 | Valor: 208
  - 656865 | Valor: 9099.03
  - 4203210 | Valor: 6689.44
  - 656967 | Valor: 272.96
  - 40362 | Valor: 2600
  - 657451 | Valor: 35.28
  - 656861 | Valor: 944.18
  - 39947 | Valor: 2500
  - 658429 | Valor: 2500
  - 656954 | Valor: 4498.38

❌ Contas com erro: 5
  - 4203555 | Erro: Erro ao enviar conta 4203555: ERROR: É obrigatório o preenchimento das tags [codigo_cliente_fornecedor] ou [codigo_cliente_fornecedor_integracao]!
  - 4203559 | Erro: Erro ao enviar conta 4203559: ERROR: É obrigatório o preenchimento das tags [codigo_cliente_fornecedor] ou [codigo_cliente_fornecedor_integracao]!
  - 658475 | Erro: Erro ao enviar conta 658475: ERROR: É obrigatório o preenchimento das tags [codigo_cliente_fornecedor] ou [codigo_cliente_fornecedor_integracao]!
  - 657978 | Erro: Erro ao enviar conta 657978: ERROR: É obrigatório o preenchimento das tags [codigo_cliente_fornecedor] ou [codigo_cliente_fornecedor_integracao]!
  - 4203566 | Erro: Erro ao enviar conta 4203566: ERROR: É obrigatório o preenchimento das tags [codigo_cliente_fornecedor] ou [codigo_cliente_fornecedor_integracao]!
