📅 Log de execução - 17/03/2025, 15:08:47

✅ Contas enviadas com sucesso: 105
  - 4200863 | Valor: 21707.03
  - 4191673 | Valor: 337.28
  - 4191532 | Valor: 29.99
  - 4191651 | Valor: 300.24
  - 4191704 | Valor: 572.89
  - 4194544 | Valor: 40395.57
  - 4200311 | Valor: 14281.9
  - 4200382 | Valor: 124.96
  - 4197446 | Valor: 2064.16
  - 4193579 | Valor: 218
  - 4188945 | Valor: 22.84
  - 4194545 | Valor: 605.93
  - 656751 | Valor: 10817
  - 658241 | Valor: 8000
  - 4175613 | Valor: 3145.77
  - 4200123 | Valor: 58.28
  - 658353 | Valor: 58700
  - 4191681 | Valor: 203.35
  - 4197771 | Valor: 5198
  - 4191637 | Valor: 211.23
  - 4191345 | Valor: 881.3
  - 4197331 | Valor: 788.96
  - 4196811 | Valor: 124.96
  - 4192615 | Valor: 65.57
  - 4200849 | Valor: 526
  - 4199269 | Valor: 305.93
  - 4191563 | Valor: 214.26
  - 4191564 | Valor: 218.26
  - 4201708 | Valor: 880
  - 4186528 | Valor: 21074.24
  - 4191553 | Valor: 674.69
  - 4193212 | Valor: 153
  - 4191545 | Valor: 29.99
  - 4191346 | Valor: 899.22
  - 4191656 | Valor: 69.98
  - 4190690 | Valor: 1538
  - 4191571 | Valor: 234.2
  - 4201772 | Valor: 4220.68
  - 4191096 | Valor: 35300
  - 4191283 | Valor: 6872.58
  - 4193387 | Valor: 4320
  - 4194194 | Valor: 22.84
  - 4192708 | Valor: 23561.42
  - 657535 | Valor: 5082
  - 4191601 | Valor: 184.08
  - 4191546 | Valor: 29.97
  - 4189658 | Valor: 1300
  - 4191284 | Valor: 6872.58
  - 4192614 | Valor: 4371.55
  - 4195731 | Valor: 8422.88
  - 4201105 | Valor: 37950
  - 656318 | Valor: 3026.32
  - 4192592 | Valor: 250
  - 4192593 | Valor: 250
  - 4199054 | Valor: 43279.75
  - 4170027 | Valor: 1100
  - 4191657 | Valor: 69.94
  - 4191665 | Valor: 180.09
  - 4190855 | Valor: 3505
  - 658179 | Valor: 8000
  - 4191593 | Valor: 109.98
  - 4191674 | Valor: 344.84
  - 4188352 | Valor: 171
  - 4196810 | Valor: 124.96
  - 4195309 | Valor: 3158.8
  - 4191570 | Valor: 229.86
  - 4194228 | Valor: 300
  - 4200314 | Valor: 19280.6
  - 4197491 | Valor: 37950
  - 4193647 | Valor: 137.17
  - 654970 | Valor: 550
  - 657757 | Valor: 930
  - 4175612 | Valor: 3145.77
  - 4195502 | Valor: 2166.95
  - 4194665 | Valor: 33881.98
  - 4191215 | Valor: 63.31
  - 4191682 | Valor: 207.91
  - 4192236 | Valor: 105
  - 4196806 | Valor: 124.96
  - 4191559 | Valor: 880.54
  - 4191650 | Valor: 296.8
  - 4199164 | Valor: 4223.87
  - 4200982 | Valor: 7640.17
  - 4201753 | Valor: 9144.79
  - 4191027 | Valor: 124.21
  - 4192709 | Valor: 23561.42
  - 657753 | Valor: 2822.36
  - 4185447 | Valor: 1450
  - 4193646 | Valor: 9144.79
  - 4195849 | Valor: 11929
  - 4198591 | Valor: 37550.04
  - 4191666 | Valor: 184.13
  - 4202882 | Valor: 705
  - 4172168 | Valor: 40
  - 4191594 | Valor: 109.92
  - 4191533 | Valor: 29.97
  - 4196809 | Valor: 124.96
  - 4198127 | Valor: 53
  - 4195981 | Valor: 4660.46
  - 4191007 | Valor: 5440
  - 4188943 | Valor: 605.93
  - 655114 | Valor: 2822.36
  - 657534 | Valor: 2500
  - 658182 | Valor: 2800
  - 4186537 | Valor: 2812.6

❌ Contas com erro: 2
  - 4200379 | Erro: Erro ao enviar conta 4200379: SOAP-ERROR: Broken response from Application Server (BG)
  - 658542 | Erro: Erro ao enviar conta 658542: SOAP-ERROR: Broken response from Application Server (BG)
